questionId,questions,lang
1,Give me all cosmonauts.,en
1,Gib mir alle Kosmonauten.,de
1,Dame todas las cosmonautas.,es
1,Dammi tutte le cosmonaute.,it
1,Donnes-moi tous les cosmonautes.,fr
1,Geef alle kosmonauten.,nl
1,Dă-mi toți cosmonauții.,ro
10,In which country does the Ganges start?,en
10,In welchem Land entspringt der Ganges?,de
10,¿En qué país nace el Ganges?,es
10,In quale stato nasce il Gange?,it
10,Dans quel pays commence le Gange?,fr
10,In welk land ontspringt de Ganges?,nl
10,Din ce țară izvorăște Ganga?,ro
100,When is the movie Worst Case Scenario going to be in cinemas in the Netherlands?,en
100,Wann kommt der Film Worst Case Scenario in den Niederlanden in die Kinos?,de
100,¿Cuándo se estrena la película Worst Case Scenario en los países bajos?,es
100,Quando verrà proiettato il film Worst Case Scenario al cinema nei Paesi Bassi?,it
100,Quand sera la film Worst Case Scenario à voir dans les cinémas néerlandais?,fr
100,Wanneer komt de film Worst Case Scenario in Nederland in de bioscoop?,nl
100,Când va fi filmul Worst Case Scenario în cinematografele din Olanda?,ro
101,Which German cities have more than 250000 inhabitants?,en
101,Welche deutschen Städte haben mehr als 250000 Einwohner?,de
101,¿Qué ciudades alemanas tienen más de 250000 habitantes?,es
101,Quali città tedesche hanno più di 250000 abitanti?,it
101,Quelles villes allemandes ont plus de 250000 habitants?,fr
101,Welke Duitse steden hebben meer dan 250000 inwoners?,nl
101,Ce orașe germane au mai mult de 250000 de locuitori?,ro
102,Who was John F. Kennedy's vice president?,en
102,Wer war der Vizepräsident unter John F. Kennedy?,de
102,¿Quién fué el vicepresidente de John F. Kennedy?,es
102,Chi fu il vicepresidente di John F. Kennedy?,it
102,Qui était le vice-président de John F. Kennedy?,fr
102,Wie was de vicepresident onder John F. Kennedy?,nl
102,Cine a fost vicepreședintele lui John F. Kennedy?,ro
103,Who is the mayor of Berlin?,en
103,Wer ist der Bürgermeister von Berlin?,de
103,¿Quién es el alcalde de Berlin?,es
103,Chi è il sindaco di Berlino?,it
103,Qui est le maire de Berlin?,fr
103,Wie is de burgemeester van Berlijn?,nl
