input_lang,output_lang
Which river does the Brooklyn Bridge cross?,Welke rivier overspant de Brooklyn Bridge?
Give me the websites of companies with more than 500000 employees.,Geef me de websites van alle ondernemingen met meer dan 500000 werknemers.
What is the official website of Tom Cruise?,Wat is de officiële website van Tom Cruise?
Give me all movies with Tom Cruise.,Noem alle films met Tom Cruise.
Who created Wikipedia?,Wie heeft Wikipedia opgericht?
How many films did Hal Roach produce?,Hoeveel films heeft Hal Roach geproduceerd?
In which country does the Nile start?,In welk land ontspringt de Nijl?
Which states of Germany are governed by the Social Democratic Party?,In welke Duitse deelstaten is de SPD aan de macht?
How tall is Claudia Schiffer?,Hoe lang is Claudia Schiffer?
Which television shows were created by Walt Disney?,Welke televisieseries werden bedacht door Walt Disney?
What is the highest place of Karakoram?,Wat is het hoogste punt van de Karakoram?
Give me all cities in New Jersey with more than 100000 inhabitants.,Geef alle steden in New Jersey met meer dan 100000 inwoners.
Which actors were born in Germany?,Welke acteurs zijn geboren in Duitsland?
Give me all people with first name Jimmy.,Noem alle personen met de voornaam Jimmy.
Which mountain is the highest after the Annapurna?,Welke berg is na de Annapurna de hoogste berg?
How often was Michael Jordan divorced?,Hoe vaak is Michael Jackson gescheiden?
Who designed the Brooklyn Bridge?,Wie ontwierp de Brooklyn Bridge?
Which classis do tree frogs belong to?,Tot welke klasse behoren boomkikkers?
Was Natalie Portman born in the United States?,Werd Natalie Portman geboren in de Verenigde Staten?
Which countries have more than two official languages?,Welke landen hebben meer dan twee officiële talen?
When did Latvia join the EU?,Wanneer trad Letland toe tot de EU?
Who created Goofy?,Wie bedacht Goofy?
Give me all soccer clubs in Spain.,Noem alle Spaanse voetbalclubs.
Who is the mayor of New York City?,Wie is de burgemeester van New York?
Which organizations were founded in 1950?,Welke organisaties werden opgericht in 1950?
Which presidents were born in 1945?,Welke presidenten werden geboren in 1945?
Through which countries does the Yenisei river flow?,Door welke landen stroomt de Jenisej?
Which museum exhibits The Scream by Munch?,In welk museum hangt De Schreeuw van Munch?
Which budget did the first movie of Zdenek Sverak have?,Welk budget had de eerste film van Zdenek Sverak
Give me the capitals of all countries in Africa.,Noem de hoofdsteden van alle landen in Afrika.
Which states border Illinois?,Welke staten grenzen aan Illinois?
Which countries have places with more than two caves?,Welke landen hebben plaatsen met meer dan twee grotten?
Which European countries have a constitutional monarchy?,Welke Europese landen zijn een constitutionele monarchie?
What is the highest mountain in Australia?,Wat is de hoogste berg van Australië?
Which capitals in Europe were host cities of the summer olympic games?,In welke Europese hoofdsteden waren de Olympische Zomerspelen?
