input_lang,output_lang
Which river does the Brooklyn Bridge cross?,Quelle cours d'eau est traversé par le pont de Brooklyn?
Give me the websites of companies with more than 500000 employees.,Donnes-moi les sites webs de companies avec plus de 500000 employés.
What is the official website of Tom Cruise?,Quel est le site web officiel de Tom Cruise?
Give me all movies with Tom Cruise.,Donnes-moi tous les films avec Tom Cruise.
Who created Wikipedia?,Qui est le créateur de Wikipedia?
How many films did Hal Roach produce?,Combien de films ont été produit par Hal Roach?
In which country does the Nile start?,Dans quel pays commence le Nil?
Which states of Germany are governed by the Social Democratic Party?,Quels sont les états d'Allemagne gouvernés par le parti social-démocrate d'Allemagne?
How tall is Claudia Schiffer?,Quelle est la taille de Claudia Schiffer?
Which television shows were created by Walt Disney?,Quelles séries télevisées ont été créées par Walt Disney?
What is the highest place of Karakoram?,Quel est l'endroit le plus haut du Karakoram?
Give me all cities in New Jersey with more than 100000 inhabitants.,Donnes-moi toutes les villes du New Jersey avec plus de 100000 habitants.
Which actors were born in Germany?,Quels acteurs sont nés en Allemagne?
Give me all people with first name Jimmy.,Donnes-moi toutes les personnes dont le prénom est Jimmy.
Which mountain is the highest after the Annapurna?,Quelle est la montagne la plus haute après l'Annapurna?
How often was Michael Jordan divorced?,Combien de fois a divorcé Michael Jordan?
Who designed the Brooklyn Bridge?,Qui a conçu le pont de Brooklyn?
Which classis do tree frogs belong to?,A quelle classe apartiennent les grenouilles arboricoles?
Was Natalie Portman born in the United States?,Natalie Portman est-elle née aux Etats-Unis?
Which countries have more than two official languages?,Quels pays ont plus de deux langues officielles?
When did Latvia join the EU?,Quand est la Lettonie devenue membre de l'Union européene?
Who created Goofy?,Qui est le créateur de Goofy?
Give me all soccer clubs in Spain.,Donnes-moi tous les clubs de football d'Espagne.
Who is the mayor of New York City?,Qui est le maire de New York City?
Which organizations were founded in 1950?,Quels organisations ont été fondées en 1950?
Which presidents were born in 1945?,Quels présidents sont nés en 1945?
Through which countries does the Yenisei river flow?,Quels sont les pays traversés par l'Ienisseï?
Which museum exhibits The Scream by Munch?,Dans quel musée est exposé Le Cri de Munch?
Which budget did the first movie of Zdenek Sverak have?,Quel était le budget du premier film de Zdenek Sverak?
Give me the capitals of all countries in Africa.,Donnes-moi la capitale de chaque pays d'Afrique.
Which states border Illinois?,Quels sont les états voisins de l'Illinois?
Which countries have places with more than two caves?,Quels pays ont des lieux avec plus de deux grottes?
Which European countries have a constitutional monarchy?,Quels pays d'Europe ont une monarchie constitutionnelle?
What is the highest mountain in Australia?,Quelle est la plus haute montagne d'Australie?
Which capitals in Europe were host cities of the summer olympic games?,Quelles capitales européenes ont été hôtes de jeux olympiques d'été?
Who was the wife of U.S. president Lincoln?,Qui était l'épouse du président américain Lincoln?
"Which airports are located in California, USA?",Quels aéroports se trouvent en Californie?
Is Christian Bale starring in Batman Begins?,Christian Bale joue-t-il dans Batman Begins?
In which programming language is GIMP written?,En quel langage de programmation a été écrit GIMP?
In which country is the Limerick Lake?,Dans quel pays se trouve le lac Limerick?
Which monarchs of the United Kingdom were married to a German?,Quels monarques du Royaume-Uni ont épousé une personne allemande?
Give me all female German chancellors.,Donnes-moi tous les chancelières allemandes.
Give me all video games published by Mean Hamster Software.,Donnes-moi tous les jeux vidéos publiés par Mean Hamster Software.
Who produced films starring Natalie Portman?,Qui a produit des films dans lesquels joue Natalie Portman?
In which films did Julia Roberts as well as Richard Gere play?,Dans quels films jouent Julia Roberts et Richard Gere?
How many films did Leonardo DiCaprio star in?,Dans combien de films Leonard DiCaprio a-t-il joué?
Give me all school types.,Donnes-moi tous ley types d'écoles.
Give me the birthdays of all actors of the television show Charmed.,Donnes-moi les dates de naissance des acteurs de la série télévisée Charmed.
In which city did John F. Kennedy die?,Dans quelle ville est mort John F. Kennedy?
How many monarchical countries are there in Europe?,Combien de monarchies existent en Europe?
Give me all presidents of the United States.,Donnes-moi tous les présidents des Etats-Unis.
Who produced the most films?,Qui a produit le plus de films?
Which languages are spoken in Estonia?,Quelles langues parle-t-on en Estonie?
Is there a video game called Battle Chess?,Existe-t-il un jeu vidéo appelé Battle Chess?
Which mountains are higher than the Nanga Parbat?,Quelles montagnes sont plus hautes que le Nanga Parbat?
When is the movie Worst Case Scenario going to be in cinemas in the Netherlands?,Quand sera la film Worst Case Scenario à voir dans les cinémas néerlandais?
Is Jens Friebe a vegan?,Jens Friebe est-il un végétarien?
Which telecommunications organizations are located in Belgium?,Quelles agences de télécommunication sont situées en Belgique?
Which companies work in the aerospace industry as well as on nuclear reactor technology?,Quelles companies travaillent dans l'aérospatial et dans les réacteurs nucléaires?
Which state of the USA has the highest population density?,Quel état des Etats-Unis a la plus haute densité de population?
Is the wife of president Obama called Michelle?,L'épouse du président Obama s'appelle-t-elle Michelle?
What is the highest mountain?,Quelle est la montagne la plus haute?
Give me all Canadian Grunge record labels.,Donnes-moi tous les labels discographiques canadiens de grunge.
What is the currency of the Czech Republic?,Quel est la devise de la Tchéquie?
Give me all books written by Danielle Steel.,Donnes-moi tous les livres écrits par Danielle Steel.
In which films directed by Garry Marshall was Julia Roberts starring?,Dans quels films dirigés par Garry Marshall joue Julia Roberts?
Who developed the video game World of Warcraft?,Qui a développé World of Warcraft?
Who owns Aldi?,Qui possède Aldi?
How many employees does IBM have?,Combien d'employés a IBM?
What is the area code of Berlin?,Quel est l'indicatif téléphonique de Berlin?
When was the Battle of Gettysburg?,Quand se déroula la bataille de Gettysburg?
What are the official languages of the Philippines?,Quels sont les langues officielles des Philippines?
Is Frank Herbert still alive?,Frank Herbert est-il encore en vie?
How many big fires struck Paris during the Middle Ages?,Quels grands incendies ont frappé Paris pendant le Moyen Âge?
Who wrote the book Les Piliers de la terre?,Qui a écrit le livre Les Piliers de la terre?
Give me the homepage of Forbes.,Quel est la site web de Forbes?
Is proinsulin a protein?,La pro-insuline est-elle une protéine?
Which awards did WikiLeaks win?,Quels prix ont été gagnés par Wikileaks?
List all episodes of the first season of the HBO television series The Sopranos!,Donnes-moi tous les épisodes de la première saison de la série télévisée de HBO les Sopranos.
Which country has the most official languages?,Quels pays a le plus de langues officielles?
Which U.S. states possess gold minerals?,Quels états des Etats-Unis d'Amérique possèdent de l'or?
What is the most beautiful painting?,Quelle est la plus belle peinture du monde?
Who is the daughter of Ingrid Bergman married to?,Qui est l'épou de la fille d'Ingrid Bergman?
Is Egypts largest city also its capital?,La ville la plus grande de l'Egypte est-elle sa capitale?
Which caves have more than 3 entrances?,Quelles grottes ont plus de 3 entrées?
Give me all films produced by Hal Roach.,Donnes-moi tous les films produits par Hal Roach.
Which bridges are of the same type as the Manhattan Bridge?,Quels ponts sont du même type que le pont de Manhattan?
Was U.S. president Jackson involved in a war?,Le président Jackson a-t-il participé à une guerre?
Which software has been developed by organizations founded in California?,Quels logiciels ont été dévelopés par des agences fondées en Californie?
Who has been the 5th president of the United States of America?,Qui fut le 5e président des Etats-Unis?
Which music albums contain the song Last Christmas?,Quels albums contiennent le morceau Last Christmas?
Give me all female Russian astronauts.,Donnes-moi tous les astronautes féminins russes.
Give me all actors starring in Last Action Hero.,Noem alle acteurs uit de film Last Action Hero.
Give me all companies in the advertising industry.,Donnes-moi toutes les agences de publicité.
Give me all animal species that live in the Teutoburg Forest.,Donnes-moi toutes les espèces animales qui vivent dans la forêt de Teutberg.
Which countries in the European Union adopted the Euro?,Quels pays de l'Union Européene ont adopté l'Euro?
When was Capcom founded?,Quand a été fondé Capcom?
Give me all soccer clubs in the Premier League.,Donnes-moi toutes les équipes de la Premier League.
Who is the owner of Universal Studios?,A qui appartient Universal Studios?
What did Bruce Carver die from?,Quel est la cause de décès de Bruce Carver?
How often did Jane Fonda marry?,Combien de fois s'est mariée Jane Fonda?
Which books by Kerouac were published by Viking Press?,Quels lives de Kerouac ont été publiés par Viking Press?
Which U.S. state has the highest population density?,Quel état des Etats-Unis a la plus haute densité de population?
What is the founding year of the brewery that produces Pilsner Urquell?,Quelle est l'année de fondation de la brasserie qui produit Pilsner Urquell?
Give me all federal chancellors of Germany.,Donnes-moi tous les chancelièrs allemands.
In which U.S. state is Mount McKinley located?,Dans quel état des Etats-Unis d'Amérique se trouve le mont McKinley?
When was the Statue of Liberty built?,Quand a-t-été construit la statue de la liberté?
Give me all people that were born in Vienna and died in Berlin.,Donne-moi toutes les personnes qui sont nées à Vienne et mortes à Berlin.
How tall is Michael Jordan?,Quelle est la taille de Michael Jordan?
What is the total amount of men and women serving in the FDNY?,Combien d'hommes et femmes sont membres du corps des sapeurs-pompiers professionnels de New York?
Give me all breeds of the German Shepherd dog.,Donnes-moi toutes les races de bergers allemands.
What is the official language of Suriname?,Quelle est la langue officielle du Suriname?
Who composed the music for Harold and Maude?,Qui a composé la musique de Harold et Maude?
In which city was the former Dutch queen Juliana buried?,Dans quelle ville a-t-été enterré la reine néerlandaise Juliana?
Who wrote the book The Pillars of the Earth?,Qui a écrit le livre Les Piliers de la Terre?
What are the nicknames of San Francisco?,Quels sont les surnoms de San Francisco?
Which companies work in the aerospace industry as well as in medicine?,Quelles companies travaillent dans l'aérospatial et dans la médecine?
