input_lang,output_lang
When was the Battle of Gettysburg?,Quando foi a batalha de Gettysburg?
List all the musicals with music by Elton John.,Liste todos os musicais com músicas de Elton John.
How high is the lighthouse in Colombo?,Qual a altura do Farol em Colombo?
Who was the wife of U.S. president Lincoln?,Quem foi a esposa do presidente americano Lincoln?
Who is the host of the BBC Wildlife Specials?,Quem é o apresentador do BBC Wildlife Specials?
How much did Pulp Fiction cost?,Quanto custou Pulp Fiction?
In what city is the Heineken brewery?,Em que cidade fica a cervejaria Heineken?
When did Operation Overlord commence?,Quando começou a Operação Overlord?
In which city does the Chile Route 68 end?,Em que cidade termina a Rota 68 do Chile?
Who developed Slack?,Quem desenvolveu o Slack?
Who was married to president Chirac?,Quem foi casada com o presidente Chirac?
What did Bruce Carver die from?,De que morreu Bruce Carver?
Who painted The Storm on the Sea of Galilee?,Quem pintou Tormenta no Mar da Galileia?
Which cities does the Weser flow through?,Em quais cidades o rio Weser passa?
How many seats does the home stadium of FC Porto have?,Quantas cadeiras tem o estádio do Futebol Clube do Porto
Who is the daughter of Robert Kennedy married to?,Com quem a filha de Robert Kennedy casou-se?
Which books by Kerouac were published by Viking Press?,Que livros de Kerouac foram publicados pela Viking Press?
How tall is Amazon Eve?,Qual a altura de Amazon Eve?
Which museum exhibits The Scream by Munch?,Em que museu está exposto O Grito de Munch?
Who wrote the book Les Piliers de la terre?,Quem escreveu o livro Os Pilares da Terra?
Is James Bond married?,James Bond é casado?
Who discovered Ceres?,Quem descobriu Ceres?
Which river does the Brooklyn Bridge cross?,Que rio a Ponte do Brooklyn cruza?
Who was called Frank The Tank?,Quem foi chamado de Frank The Tank?
What is the largest country in the world?,Qual é o maior país do mundo
Who is the mayor of Paris?,Quem é o prefeito de Paris?
Who is the coach of Ankara's ice hockey team?,Quem é o treinador da equipe de hockey no gelo de Ankara?
Who is the mayor of the capital of French Polynesia?,Quem é o prefeito da capital da Polinésia Francessa?
Which awards did Douglas Hofstadter win?,Que prêmios Douglas Hofstadter ganhou?
How much did the Lego Movie cost?,Quanto custou The Lego Movie?
Where does Piccadilly start?,Onde começa a Piccadilly?
Do Prince Harry and Prince William have the same parents?,O Príncipe Harry e o Príncipe William têm os mesmos pais?
Who played Agent Smith in Matrix?,Quem interpretou o Agente Smith em Matrix?
How many languages are spoken in Turkmenistan?,Quantos idiomas são falados no Turquemenistão?
In which films did Julia Roberts as well as Richard Gere play?,Em que filmes Julia Roberts e Richard Gere atuaram?
In which country does the Ganges start?,Em que país nasce o Ganges?
In which year was Rachel Stevens born?,Em que ano nasceu Rachel Stevens?
Is Barack Obama a democrat?,Barack Obama é um Democrata?
Where was Bach born?,Onde nasceu Bach?
How often did Jane Fonda marry?,Quantas vezes Jane Fonda se casou?
Who was the first to climb Mount Everest?,Quem foi o primeiro a escalar o Monte Everest?
How many people live in Poland?,Quantas pessoas vivem na Polônia
What is the location of the Houses of Parliament?,Onde fica o Palácio de Westminster?
Is Christian Bale starring in Batman Begins?,Christian Bale atua em Batman Begins?
In which country is the Limerick Lake?,Em que país fica o Lago Limerick?
What was the last movie with Alec Guinness?,Qual foi o último filme de Alec Guinness?
What is the highest mountain in Australia?,Qual a montanha mais alta da Austrália?
Is Frank Herbert still alive?,Frank Herbert ainda vive?
Who created Family Guy?,Quem criou Family Guy?
What is the official language of Suriname?,Qual a língua oficial do Suriname?
Who wrote the song Hotel California?,Quem escreveu a canção Hotel California?
Give me all actors starring in movies directed by William Shatner.,Liste todos os atores que estrelaram em filmes dirigidos por William Shatner.
What is in a chocolate chip cookie?,Quais são os ingredientes do biscoito de chocolate?
Give me all professional skateboarders from Sweden.,Liste todos os skatistas profissionais da Suécia.
Which ingredients do I need for carrot cake?,Que ingredientes eu preciso para um bolo de cenoura?
Does Neymar play for Real Madrid?,O Neymar joga no Real Madrid?
Which computer scientist won an oscar?,Que cientista da computação ganhou um Oscar?
How many companies were founded in the same year as Google?,Quantas empresas foram fundadas no mesmo ano que o Google?
In which UK city are the headquarters of the MI6?,Em que cidade da Inglaterra está a sede do MI6?
Was the Cuban Missile Crisis earlier than the Bay of Pigs Invasion?,A Crise dos Mísseis de Cuba ocorreu antes da Invasão da Baía dos Porcos?
What does IYCM stand for?,Qual o significado de IYCM?
When did the Ming dynasty dissolve?,Quando a Dinastia Ming acabou?
List all episodes of the first season of the HBO television series The Sopranos!,Liste todos os episódios da primeira temporada do seriado Família Soprano da HBO.
"What is the total population of Melbourne, Florida?","Qual é a população total de Melbourne, Florida?"
Did Arnold Schwarzenegger attend a university?,Arnold Schwarzenegger frequentou uma universidade?
What country is Mount Everest in?,Em que país está o Monte Everest?
What is the largest city in Australia?,Qual é a maior cidade da Austrália?
Give me all launch pads operated by NASA.,Ache todas as plataformas de lançamento espaciais operadas pela NASA.
Who is the mayor of Tel Aviv?,Quem é o prefeito de Tel Aviv?
List all episodes of the first season of the HBO television series The Sopranos.,Liste todos os episódios da primeira temporada do seriado Família Soprano da HBO.
Who created Batman?,Quem criou Batman?
Who played Gus Fring in Breaking Bad?,Quem interpretou Gus Fring em Breaking Bad?
In which programming language is GIMP written?,Em que linguagem de programação foi escrito o GIMP?
In which ancient empire could you pay with cocoa beans?,Em que império antigo você poderia pagar com grãos de cacau?
Who is the editor of Forbes?,Quem é o editor da Forbes?
How many people live in the capital of Australia?,Quantos habitantes tem a capital da Austrália?
Which professional surfers were born in Australia?,Quais surfistas profissionais nasceram na Austrália?
Which electronics companies were founded in Beijing?,Que companhias de eletrônica foram fundadas em Beijing?
Give me all video games published by Mean Hamster Software.,Mostre todos os jogos da Mean Hamster Software.
How many Aldi stores are there?,Quantas lojas Aldi existem?
What is the capital of Cameroon?,Qual a capital de Camarões?
Is there a video game called Battle Chess?,Há algum jogo eletrônico chamado Battle Chess?
Was the wife of president Lincoln called Mary?,A esposa do Presidente Lincoln chamava-se Mary?
Give me all movies directed by Francis Ford Coppola.,Encontre todos os filmes dirigidos por Francis Ford Coppola.
Which of Tim Burton's films had the highest budget?,Qual filme de Tim Burton teve o maior orçamento?
Does Breaking Bad have more episodes than Game of Thrones?,Breaking Bad tem mais episódios do que Game of Thrones?
Who was called Rodzilla?,Quem era chamado de Rodzilla?
Was Natalie Portman born in the United States?,Natalie Portman nasceu nos Estados Unidos?
Give me the grandchildren of Elvis Presley.,Mostre os netos de Elvis Presley.
Which movies starring Mickey Rourke were directed by Guy Ritchie?,Quais filmes protagonizados por Mickey Rourke foram dirigidos por Guy Ritchie?
When did Dracula's creator die?,Quando morreu o criador de Drácula?
Which country does the creator of Miffy come from?,De que país vem o criador de Miffy?
What is Batman's real name?,Qual é o nome verdadeiro do Batman?
What form of government does Russia have?,Que forma de governo a Rússia possui?
How many companies were founded by the founder of Facebook?,Quantas companhias foram fundadas pelo fundador do Facebook?
Give me all Canadian Grunge record labels.,Liste todas as gravadoras canadenses de música Grunge.
How many children did Benjamin Franklin have?,Quantos filhos Benjamim Franklin teve?
List the children of Margaret Thatcher.,Liste os filhos de Margaret Thatcher.
From which region is the Melon de Bourgogne?,De que região é o Melon de Bourgogne?
Who is the oldest child of Meryl Streep?,Qual é o filho mais velho de Meryl Streep?
Are tree frogs a type of amphibian?,As rãs arborícolas são um tipo de anfíbio?
Is Christian Bale starring in Velvet Goldmine?,Christian Bale atua em Velvet Goldmine?
List all games by GMT.,Liste todos os jogos da GMT.
Does the Isar flow into a lake?,O Isar desemboca em um lago?
Which airports does Yeti Airlines serve?,Que aeroportos a Yeti Airlines serve?
Which Indian company has the most employees?,Que empresa indiana tem o maior número de empregados?
What color expresses loyalty?,Que cor expressa a lealdade?
Which city has the most inhabitants?,Qual a cidade com maior população?
Who created Wikipedia?,Quem criou a Wikipedia?
Is Rita Wilson the wife of Tom Hanks?,Rita Wilson é a esposa de Tom Hanks?
Is the wife of president Obama called Michelle?,A esposa do presidente Obama chama-se Michelle?
How many ethnic groups live in Slovenia?,Quantos grupos étnicos vivem na Eslovênia?
Who is the president of Eritrea?,Quem é o presidente da Eritrea?
Which films did Stanley Kubrick direct?,Que filmes Stanley Kubrick dirigiu?
When was the Titanic completed?,Quando o Titanic foi completado?
How many pages does War and Peace have?,Quantas páginas tem Guerra e Paz?
Who is the youngest player in the Premier League?,Quem é o jogador mais jovem da Premier League?
What is the highest mountain in Italy?,Qual a montanha mais alta da Itália?
How tall is Claudia Schiffer?,Qual a altura de Claudia Schiffer?
Who was John F. Kennedy's vice president?,Quem foi o vice presidente de John F. Kennedy?
Which subsidiary of Lufthansa serves both Dortmund and Berlin Tegel?,Que subsidiária da Lufthansa atende Dortmund e Berlin?
Who was the successor of John F. Kennedy?,Quem foi o sucessor de John F. Kennedy?
Who composed the soundtrack for Cameron's Titanic?,Quem compôs a trilha sonora do Titanic de Cameron?
Which movies did Kurosawa direct?,Quais filmes Kurosawa dirigiu?
For which label did Elvis record his first album?,Para qual gravadora Elvis gravou seu primeiro álbum?
In which time zone is Rome?,Em que fuso horário está Roma?
Give me the currency of China.,Qual a moeda da China?
Who are the developers of DBpedia?,Quem são os desenvolvedores do DBPedia?
Does Abraham Lincoln's death place have a website?,O local onde Abraham Lincoln morreu tem um website?
Who is the king of the Netherlands?,Quem é o rei da Holanda?
In which city did Nikos Kazantzakis die?,Em que cidade Nikos Kazantzakis morreu?
Who was the father of Queen Elizabeth II?,Quem foi o pai da Rainha Elizabeth II?
Give me a list of all critically endangered birds.,Liste todas as aves que correm perigo de extinção.
How many inhabitants does the largest city in Canada have?,Quantos habitantes tem a maior cidade do Canadá?
In which military conflicts did Lawrence of Arabia participate?,De quais conflitos militares Lawrence da Arábia participou?
Which book has the most pages?,Qual o livro com maior número de páginas?
In which country does the Nile start?,Em que país nasce o Nilo?
Who is the Formula 1 race driver with the most races?,Quem é o piloto de Fórmula 1 com mais corridas?
Which companies produce hovercrafts?,Que companhias produzem aerodeslizadores?
Did Elvis Presley have children?,Elvis Presley teve filhos?
In which city was the president of Montenegro born?,Em que cidade o presidente de Montenegro nasceu?
Which country was Bill Gates born in?,Em que país Bill Gates nasceu?
In which countries do people speak Japanese?,Em que país se fala japonês?
Show me the book that Muhammad Ali wrote.,Mostre me o livro que Muhammad Ali escreveu.
Is Michelle Obama the wife of Barack Obama?,Michelle Obama é a esposa de Barack Obama?
What is the area code of Berlin?,Qual é o código de área de Berlin?
Give me all actors starring in Last Action Hero.,Liste todos os atores que atuaram em Last Action Hero.
What are the nicknames of San Francisco?,Quais são os apelidos de San Francisco?
What was the first Queen album?,Qual foi o primeiro álbum do Queen?
Through which countries does the Yenisei river flow?,Por quais países o rio Yenisei passa?
Which television shows were created by Walt Disney?,Quais séries de televisão foram criadas por Walt Disney?
What is the bridge with the longest span?,Qual a ponte mais comprida?
What country is Sitecore from?,De que país é a Sitecore
Whom did Lance Bass marry?,Com quem Lance Bass casou-se?
What is the capital of Canada?,Qual a capital do Canadá?
Who was Vincent van Gogh inspired by?,Em quem Vincent van Gogh inspirou-se?
In which city did John F. Kennedy die?,Em que cidade John F. Kennedy morreu?
Was U.S. president Jackson involved in a war?,O presidente Jackson dos EUA envolveu-se em uma guerra?
Who wrote the Game of Thrones theme?,Quem escreveu o tema do Game of Thrones?
Who designed the Brooklyn Bridge?,Quem projetou a Ponte do Brooklin?
When did Boris Becker end his active career?,Quando Boris Becker encerrou sua carreira?
Which types of grapes grow in Oregon?,Que tipos de uvas crescem no Oregon?
How tall is Michael Jordan?,Qual a altura de Michael Jordan?
To which party does the mayor of Paris belong?,A que partido o prefeito de Paris pertence?
Who wrote the book The Pillars of the Earth?,Quem escreveu o livro Os Pilares da Terra?
Who was the 16th president of the United States?,Quem foi o 16o presidente dos Estados Unidos?
How high is the Mount Everest?,Qual a altura do Monte Everest?
Who was the doctoral supervisor of Albert Einstein?,Quem foi o orientador do doutorado de Albert Einstein?
In which city does Sylvester Stallone live?,Em que cidade Sylvester Stallone mora?
What is the currency of the Czech Republic?,Qual a moeda da República Tcheca?
Did Socrates influence Aristotle?,Sócrates influenciou Aristóteles?
What is the time zone of Salt Lake City?,Qual o fuso horário de Salt Lake City?
Who is the son of Sonny and Cher?,Quem é o filho de Sonny e Cher?
In which city are the headquarters of the United Nations?,Em que cidade está a sede das Nações Unidas?
Who is the founder of Penguin Books?,Quem é o fundador da Penquin Books?
When was Jack Wolfskin founded?,Quando foi fundada a Jack Wolfskin?
Who is the mayor of Rotterdam?,Quem é o prefeito de Rotterdam?
Give me all Swedish oceanographers.,Liste todos os oceanógrafos suecos.
Show me Hemingway's autobiography.,Mostre-me a autobiografia de Hemingway.
Who are the parents of the wife of Juan Carlos I?,Quem são os pais da esposa de Juan Carlos I?
Did Tesla win a nobel prize in physics?,Tesla ganhou um Prêmio Nobel de Física?
Who is the tallest basketball player?,Quem é o jogador de basquete mais alto?
Which city has the least inhabitants?,Qual cidade tem menos habitantes?
Is proinsulin a protein?,A proinsulina é uma proteína?
Who were the parents of Queen Victoria?,Quem foram os pais da Rainha Victoria?
Did Che Guevara have children?,Che Guevara teve filhos?
Is Lake Baikal bigger than the Great Bear Lake?,O lago Baikal é maior do que o lago Great Bear?
Did Kaurismäki ever win the Grand Prix at Cannes?,Kaurismäki alguma vez venceu o Grand Prix de Cannes?
Give me all books by William Goldman with more than 300 pages.,Liste todos os livros de William Goldman com mais de 300 páginas.
Where is Fort Knox located?,Onde está localizado o Fort Knox?
In which U.S. state is Fort Knox located?,Em que estado dos EUA fica o Fort Knox?
Where is Syngman Rhee buried?,Onde está enterrado Syngman Rhee?
What is the timezone in San Pedro de Atacama?,Qual é o fuso horário de São Pedro de Atacama?
To which artistic movement did the painter of The Three Dancers belong?,A que movimento artístico o pintor do quadro As Três Dançarinas pertencia?
Which scientist is known for the Manhattan Project and the Nobel Peace Prize?,Que cientista é conhecido pelo Projeto Manhattan e pelo Prêmio Nobel da Paz?
Show me all books in Asimov's Foundation series.,Mostre-me todos os livros de Asimov da série Fundação.
Give me all cities in New Jersey with more than 100000 inhabitants.,Liste todas as cidades em New Jersey com mais de 100000 habitantes.
Which museum in New York has the most visitors?,Que museu de Nova York tem mais visitantes?
How high is the Yokohama Marine Tower?,Qual a altura da torre Yokohama Marine?
Does the new Battlestar Galactica series have more episodes than the old one?,A nova série Battlestar Galactica tem mais episódios do que a anterior?
Who is the youngest Darts player?,Quem é o jogador mais jovem de dardos?
Who developed the video game World of Warcraft?,Quem desenvolveu o jogo World of Warcraft?
Who was the pope that founded the Vatican Television?,Qual papa fundou a Televisão do Vaticano?
Who composed the music for Harold and Maude?,Quem compôs a música para Harold e Maude?
Give me all members of Prodigy.,Liste todos os membros da Prodigy
Who is starring in Spanish movies produced by Benicio del Toro?,Quem atua nos filmes espanhois produzidos por Benicio del Toro?
Which subsidiary of TUI Travel serves both Glasgow and Dublin?,Qual subsidiária da TUI Travel vôa para Glasgow e Dublin?
In which country is Mecca located?,Em qual país está localizada Meca?
How many languages are spoken in Colombia?,Quantos idiomas são falados na Colômbia?
What is the biggest stadium in Spain?,Qual o maior estádio da Espanha?
Which professional surfers were born on the Philippines?,Que surfistas profissionais nasceram nas Filipinas?
What are the five boroughs of New York?,Quais são os cinco condados de New York?
Is Cola a beverage?,Cola é uma bebida?
When did princess Diana die?,Quando a princesa Diana morreu?
Where in France is sparkling wine produced?,Onde é produzido o vinho espumante na França?
