input_lang,output_lang
List all boardgames by GMT.,Liste todos jogos de tabuleiro da GMT. 
Who developed Skype?,Quem desenvolveu o Skype? 
Which people were born in Heraklion?,Quais pessoas nasceram em Heraklion? 
In which U.S. state is Area 51 located?,Em qual estado dos EUA está localizada a Área 51? 
Who is the mayor of New York City?,Quem é a prefeito da cidade de Nova Iorque? 
Which countries have places with more than two caves?,Quais países tem locais com mais de duas cavernas? 
Where did Abraham Lincoln die?,Onde morreu Abraão Lincoln? 
Which airports does Air China serve?,Em quais aeroportos a Air China opera? 
Give me all actors starring in movies directed by and starring William Shatner.,Liste para mim todos os atores estrelando em filmes dirigidos ou com a participação de William Shatner 
What are the official languages of the Philippines?,Quais são as línguas oficiais das Filipinas? 
Give me all Danish films.,Me dê todos os filmes dinamarquês. 
Which movies starring Brad Pitt were directed by Guy Ritchie?,Quais filmes estrelando Brad Pitt foram dirigidos por Cara Ritchie? 
Give me the grandchildren of Bruce Lee.,Me dê os netos de Bruce Lee. 
Which other weapons did the designer of the Uzi develop?,Quais outras armas o desenhista da Uzi desenvolveu? 
Who is the owner of Universal Studios?,Quem é o proprietário da Universal Studios? 
Which state of the USA has the highest population density?,Qual estado dos EUA tem a maior densidade populacional? 
Which monarchs were married to a German?,Quais monarcas foram casados com uma alemã? 
Which organizations were founded in 1950?,Quais organizações foram fundadas em 1950? 
Who created the comic Captain America?,Quem criou o quadrinho Capitão América? 
Give me the Apollo 14 astronauts.,Me dê os astronautas da Apolo 14.
Who wrote the book The pillars of the Earth?,Quem escreveu o livro Os pilares da Terra? 
Which state of the United States of America has the highest density?,Qual estado dos Unidos Estados da América tem a maior densidade? 
Which spaceflights were launched from Baikonur?,Quais vôos espaciais foram lançados a partir de Baikonur? 
Give me a list of all trumpet players that were bandleaders.,Me dê a Lista de todos os tocadores de trombeta que foram líderes de bandas. 
Which U.S. states are in the same timezone as Utah?,Qual estado dos EUA estão no mesmo fuso horário de Utah? 
Which U.S. states possess gold minerals?,Qual estado dos EUA possui ouro? 
Who is the daughter of Ingrid Bergman married to?,Com quem é casada a filha de Ingrid Bergman?
How deep is Lake Placid?,Como profundo é Lago Placid 
Show me all museums in London.,exposição mim todos museus dentro Londres. 
Who is the tallest player of the Atlanta Falcons?,Quem é a mais alto jogador do a Atlanta Falcões? 
What are the top-10 action role-playing video games according to IGN?,o que estamos a top-10 açao interpretação de papéis vídeo jogos de acordo para IGN? 
Give me all writers that won the Nobel Prize in literature.,Dar mim todos escritoras aquele Ganhou a Nobel Prêmio dentro literatura. 
Show me all basketball players that are higher than 2 meters.,exposição mim todos basquetebol jogadoras aquele estamos superior do que 2 metros. 
When was the Statue of Liberty built?,Quando estava a Estátua do Liberdade construído? 
Which states border Illinois?,Qual estados fronteira Illinois? 
Who developed Minecraft?,Quem desenvolvido Minecraft? 
Where did Hillel Slovak die?,Onde fez Hillel Eslovaco o? 
What movies does Jesse Eisenberg play in?,o que filmes faz Jesse Eisenberg Toque dentro? 
Give all swimmers that were born in Moscow.,Dar todos nadadores aquele estavam nascermos dentro Moscou. 
Give me all cosmonauts.,Dar mim todos cosmonautas. 
Give me all Swiss non-profit organizations.,Dar mim todos suíço Sem fins lucrativos organizações. 
Which presidents were born in 1945?,Qual presidentes estavam nascermos dentro 1945? 
What kind of music did Lou Reed play?,o que tipo do música fez Lou Reed Toque? 
Where do the Red Sox play?,Onde Faz a Vermelho Sox Toque? 
Show a list of soccer clubs that play in the Bundesliga.,exposição uma Lista do futebol clubes aquele Toque dentro a Bundesliga. 
Which volcanos in Japan erupted since 2000?,Qual vulcões dentro Japão irrompeu Desde a 2000? 
Which bridges cross the Seine?,Qual pontes Cruz a Sua? 
What is the official color of the University of Oxford?,o que é a oficial cor do a Universidade do Oxford? 
How many films did Hal Roach produce?,Como muitos filmes fez P Barata produzir? 
Give me all Danish movies.,Dar mim todos dinamarquês filmes. 
What is the most frequent cause of death?,o que é a a maioria freqüente causa do morte? 
Give me all companies in Munich.,Dar mim todos empresas dentro Munique. 
Give me the capitals of all countries that the Himalayas run through.,Dar mim a capitais do todos paises aquele a Himalaia corre através. 
How many movies did Park Chan-wook direct?,Como muitos filmes fez Parque Chan-Wook direto? 
Which rivers flow into a German lake?,Qual rios fluxo para dentro uma alemão lago? 
