input_lang,output_lang
Give me all cosmonauts.,تمام فضانوردان روس را لیست کن.
In which country does the Ganges start?,گنگ از کدام کشور شروع می شود؟
When is the movie Worst Case Scenario going to be in cinemas in the Netherlands?,فیلم ورست کیس سناریو از کی در هلند نمایش داده خواهد شد؟
Which German cities have more than 250000 inhabitants?,چه شهرهایی در آلمان بیشتر از 250000 نفر سکنه دارند؟
Who was John F. Kennedy's vice president?,چه کسی معاون جان اف. کندی بود؟
Who is the mayor of Tel Aviv?,چه کسی شهردار تلاویو است؟
How many students does the Free University in Amsterdam have?,دانشگاه آزاد در آمستردام چه تعداد دانشجو دارد؟
What is the second highest mountain on Earth?,دومین کوه بلند روی زمین کدام است؟
Give me all professional skateboarders from Sweden.,تمام اسکیت بازهای حرفه ای اهل سوئد را لیست کن.
When was Alberta admitted as province?,کی آلبرتا به عنوان استان پذیرفته شد؟
To which countries does the Himalayan mountain system extend?,رشته کوه هیمالیا در چه کشورهایی امتداد دارد؟
Give me a list of all bandleaders that play trumpet.,تمام رهبران گروه که ترومپت می نوازند را لیست کن.
Which countries have more than ten caves?,چه کشورهایی بیشتر از ده غار دارند؟
What is the total amount of men and women serving in the FDNY?,تعداد کل مردان و زنان شاغل در سازمان آتش نشانی نیویورک چقدر است؟
Who produces Orangina?,چه کسی اورنجینا را تولید می کند؟
Who is the Formula 1 race driver with the most races?,چه کسی راننده فرمول 1 با بیشترین مسابقه است؟
Give me all world heritage sites designated within the past two years.,میراث جهانی که در طول دو سال گذشته ثبت شده اند را لیست کن.
Who is the youngest player in the Premier League?,[چه کسی جوان ترین بازیکن لیگ برتر است؟
Give me all members of Prodigy.,تمام اعضای پرادیجی را لیست کن.
What is the longest river?,طولانی ترین رود کدام است؟
Does Breaking Bad have more episodes than Game of Thrones?,آیا بریکینگ بد از گیم آف ترونز قسمت های بیشتری دارد؟
Give me all cars that are produced in Germany.,تمام خودروهایی که در آلمان تولید می شوند را لیست کن.
What were the main discoveries of the Mars rover Curiosity?,مهم ترین کشف های مریخ نورد کوریوسیتی چه بود؟
Give me all people that were born in Vienna and died in Berlin.,تمام افرادی که در وین متولد شدند و در برلین مردند را لیست کن.
Is proinsulin a protein?,آیا پروینسولین یک پروتئین است؟
How tall is Michael Jordan?,قد مایکل جردن چقدر است؟
What is the capital of Canada?,پایتخت کانادا کجاست؟
Who is the governor of Wyoming?,چه کسی فرماندار وایومینگ است؟
Do Prince Harry and Prince William have the same parents?,آیا شاهزاده هری و شاهزاده ویلیام والدین یکسان دارند؟
Who was the father of Queen Elizabeth II?,چه کسی پدر ملکه الیزابت دوم بود؟
Which U.S. state has been admitted latest?,آخرین ایالت ثبت شده ایالات متحده کدام است؟
How many languages are spoken in Turkmenistan?,چند زبان در ترکمنستان صحبت می شود؟]
Butch Otter is the governor of which U.S. state?,بوچ اوتر فرماندار کدام ایالت ایالات متحده است؟
Give me all movies directed by Francis Ford Coppola.,تمام فیلم های کارگردانی شده توسط فرانسیس فورد کوپولا را لیست کن.
Give me all actors starring in movies directed by William Shatner.,تمام بازیگرانی که در فیلم های کارگردانی شده توسط ویلیام شاتنر بازی کرده اند را لیست کن.
Are tree frogs a type of amphibian?,آیا قورباغه های درختی نوعی دوزیست هستند؟
What is the birth name of Angela Merkel?,نام قبل از ازدواج آنگلا مرکل چیست؟
Give me all Methodist politicians.,تمام سیاستمداران متدیست را لیست کن.
How often did Jane Fonda marry?,جین فوندا چند بار ازدواج کرد؟
Give me all Australian nonprofit organizations.,تمام سازمان های ناسودبر استرالیایی را لیست کن.
In which military conflicts did Lawrence of Arabia participate?,در چه درگیرهای نظامی لورنس عربستان شرکت کرد؟
Who developed Minecraft?,چه کسی ماینکرفت را ساخت؟
What is the melting point of copper?,نقطه ذوب مس چند است؟
Give me all sister cities of Brno.,تمام شهرهای خواهر برنو را لیست کن.
How many inhabitants does Maribor have?,ماریبور چه تعداد سکنه دارد؟
Give me all companies in Munich.,تمام شرکت های مونیخ را لیست کن.
How tall is Amazon Eve?,قد آمازون ایو چقدر است؟
List all games by GMT.,تمام بازی های جی.ام.تی را لیست کن.
Who founded Intel?,چه کسی اینتل را تاسیس کرد؟
Who is the husband of Amanda Palmer?,چه کسی شوهر آماندا پالمر است؟
Give me all breeds of the German Shepherd dog.,تمام گونه های سگ ژرمن شپرد را لیست کن.
Which cities does the Weser flow through?,وزر از چه شهرهایی می گذرد؟
Which countries are connected by the Rhine?,چه کشورهایی توسط راین به هم متصل شده اند؟
Which professional surfers were born in Australia?,چه موج سواران حرفه ای در استرالیا متولد شدند؟
What is the average temperature on Hawaii?,میانگین دما در هاوایی چقدر است؟
In which UK city are the headquarters of the MI6?,مقر ام.آی.6 در کدام شهر بریتانیا است؟
Which weapons did Heckler & Koch develop?,هکلر و کخ جه سلاح هایی را ساخت؟
Who created Goofy?,چه کسی گوفی را ساخت؟
Was the Cuban Missile Crisis earlier than the Bay of Pigs Invasion?,آیا بحران موشکی کوبا قبل از عملیات خلیج خوک ها بود؟
Give me all islands that belong to Japan.,تمام جزایر متعلق به ژاپن را لیست کن.
Who invented the zipper?,زیپ را چه کسی اختراع کرد؟
What is the ruling party in Lisbon?,حزب حاکم در لیسبون کدام است؟
What are the nicknames of San Francisco?,اسم های مستعار سانفرانسیسکو چیست؟
Which Greek goddesses dwelt on Mount Olympus?,کدام الهه یونان در کوه المپ سکنی داشت؟
When were the Hells Angels founded?,هلس آنگلس کی تاسیس شد؟
Give me all Apollo 14 astronauts.,تمام فضانوردان آپولو 14 را لیست کن.
What is the time zone of Salt Lake City?,منطقه زمانی سالت لیک سیتی چیست؟
Which U.S. states are in the same time zone as Utah?,کدام ایالات ایالات متحده در منطقه زمانی یکسان با یوتا هستند؟
Give me the capitals of all countries in Africa.,پایتخت تمام کشورهای آفریقا را لیست کن.
Give me a list of all lakes in Denmark.,تمام دریاچه های دانمارک را لیست کن.
How many missions does the Soyuz programme have?,برنامه سایوز چند ماموریت دارد؟
Did Socrates influence Aristotle?,آیا سقراط ارسطور را تحت تاثیر قرار داد؟
Give me all Danish movies.,تمام فیلم های دانمارکی را لیست کن.
Give me all launch pads operated by NASA.,تمام سکوهای پرتاب راه اندازی شده توسط ناسا را لیست کن.
Which instruments does Cat Stevens play?,کت استیونس چه آلاتی را می نواخت؟
Which ships were called after Benjamin Franklin?,چه کشتی هایی به افتخار بنجامین فرانکلین نام گذاری شدند؟
Who are the parents of the wife of Juan Carlos I?,چه کسانی والدین همسر خوآن کارلوس اول هستند؟
How many employees does Google have?,گوگل چه تعداد کارمند دارد؟
Did Tesla win a nobel prize in physics?,آیا تسلا جایزه نوبل در فیزیک را برد؟
Give me all cities in New Jersey with more than 100000 inhabitants.,تمام شهرهای نیوجرسی که بیشتر از 100000 سکنه دارند را لیست کن.
Is Rita Wilson the wife of Tom Hanks?,آیا ریتا ویلسون همسر تام هنکس است؟
When was the Statue of Liberty built?,کی مجسمه آزادی ساخته شد؟
Where is Fort Knox located?,فورت ناکس در کجا واقع شده است؟
How many children did Benjamin Franklin have?,بنجامین فرانکلین چند فرزند دارد؟
When did Michael Jackson die?,مایکل جکسون کی مرد؟
Which Chess players died in the same place they were born in?,کدام بازکنان شطرنج در همان مکانی مردند که متولد شدند؟
List the children of Margaret Thatcher.,فرزندان مارگارت تاچر را لیست کن.
Who was called Frank The Tank?,چه کسی فرانک د تانک نامیده شد؟
Was Margaret Thatcher a chemist?,آیا مارگارت تاچر یک شیمیدان بود؟
Was Marc Chagall a jew?,آیا مارک شاگل یک یهودی بود؟
Which museum exhibits The Scream by Munch?,کدام موزه فریاد اثر مونک را نمایش می دهد؟
Give me all books by William Goldman with more than 300 pages.,تمام کتاب های اثر ویلیام گولدمن با بیشتر از 300 صفحه را لیست کن.
Which books by Kerouac were published by Viking Press?,چه کتاب هایی اثر کرواک توسط انتشارات وایکینگ منتشر شدند؟
Give me a list of all American inventions.,تمام اختراعات آمریکایی را لیست کن.
How high is the Mount Everest?,ارتفاع کوه اورست چقدر است؟
Who created Batman?,چه کسی بتمن را ساخت؟
How many people live in the capital of Australia?,چند نفر در پایتخت استرالیا زندگی می کنند؟
What is the largest city in Australia?,بزرگترین شهر استرالیا کدام است؟
Who composed the music for Harold and Maude?,چه کسی موسیقی هرولد و موده را نوشت؟
Which films starring Clint Eastwood did he direct himself?,کلینت ایستوود در چه فیلمی که خودش کارگردانی کرد بازی کرد؟
In which city was the former Dutch queen Juliana buried?,ملکه سابق هلند یویلیانا در کدام شهر دفن شد؟
Is Egypts largest city also its capital?,آیا بزرگترین شهر مصر پایتخت آن هم هست؟
Where is the residence of the prime minister of Spain?,محل سکونت نخست وزیر اسپانیا کجاست؟
Which U.S. state has the abbreviation MN?,مخفف کدام ایالت ایالات متحده ام.ان. است؟
Show me all songs from Bruce Springsteen released between 1980 and 1990.,تمام آهنگ های اثر بروس اسپرینگستین را که بین 1980 و 1990 منتشر شدند را لیست کن.
Which movies did Kurosawa direct?,کوروساوا چه فیلم هایی را کارگردانی کرد؟
What is the founding year of the brewery that produces Pilsner Urquell?,سال تأسیس کارخانه آبجوسازی که پیلزنر اورکوئل را تولید می کند چیست؟
Who wrote the lyrics for the Polish national anthem?,شعر سرود ملی لهستان را چه کسی نوشت؟
Give me all B-sides of the Ramones.,تمام بیسایدهای رامونز را لیست کن.
Who painted The Storm on the Sea of Galilee?,چه کسی طوفان در دریای جلیله را نقاشی کرد؟
Which country does the creator of Miffy come from?,سازنده میفی اهل کدام کشور است؟
For which label did Elvis record his first album?,الویس اولین آلبوم خود را با کدام ناشر موسیقی ضبط کرد؟
