input_lang,output_lang
When was the Battle of Gettysburg?,गेटिसबर्ग का युद्ध कब हुआ था?
List all the musicals with music by Elton John.,एल्टन जॉन द्वारा संगीत के साथ सभी संगीतों को सूचीबद्ध करें।
How high is the lighthouse in Colombo?,कोलंबो में लाइटहाउस कितना ऊँचा है?
Who was the wife of U.S. president Lincoln?,अमेरिकी राष्ट्रपति लिंकन की पत्नी कौन थी?
Who is the host of the BBC Wildlife Specials?,बीबीसी वाइल्डलाइफ स्पेशल का मेजबान कौन है?
How much did Pulp Fiction cost?,पल्प फिक्शन की लागत कितनी थी?
In what city is the Heineken brewery?,हाइनेकेन शराब की भठ्ठी किस शहर में है?
When did Operation Overlord commence?,ऑपरेशन ओवेरलोर्ड कब शुरू हुआ था?
In which city does the Chile Route 68 end?,चिली रूट 68 का अंत कौनसे शहर में होता है?
Who developed Slack?,कौन ने स्लैक विकसित किया है?
Who was married to president Chirac?,राष्ट्रपति चिराक से किसने विवाह किया था?
What did Bruce Carver die from?,ब्रूस कार्वर कि मृत्यु किस से हुई?
Who painted The Storm on the Sea of Galilee?,किसने गलील के सागर पर द स्टॉर्म को चित्रित किया?
Which cities does the Weser flow through?,किन शहरों से वेसर का प्रवाह होता है?
How many seats does the home stadium of FC Porto have?,एफसी पोर्टो के घर स्टेडियम में कितनी सीटें हैं?
Who is the daughter of Robert Kennedy married to?,रॉबर्ट कैनेडी की बेटी की कौन से शादी हुइ है?
Which books by Kerouac were published by Viking Press?,वाइकिंग प्रेस द्वारा कैरौक की कौन सी किताबें प्रकाशित की गई थीं?
How tall is Amazon Eve?,अमेज़ॅन ईव कितनी लंबी है?
Which museum exhibits The Scream by Munch?,कौन सा संग्रहालय मंच द्वारा द स्क्रीम प्रदर्शित करता है?
Who wrote the book Les Piliers de la terre?,लेस पिलीरेस डी ला टेरे किताब को किसने लिखा है?
Is James Bond married?,क्या जेम्स बांड ने शादी की है?
Who discovered Ceres?,सेरेस की खोज किसने की?
Which river does the Brooklyn Bridge cross?,ब्रुकलिन ब्रिज को कोनसी नदी पार करती है?
Who was called Frank The Tank?,कौनको फ्रैंक द टैंक कहा जाता था?
What is the largest country in the world?,दुनिया का सबसे बड़ा देश क्या है?
Who is the mayor of Paris?,पेरिस का महापौर कौन है?
Who is the coach of Ankara's ice hockey team?,अंकारा के आइस हॉकी टीम का कोच कौन है?
Who is the mayor of the capital of French Polynesia?,फ्रेंच पोलिनेशिया की राजधानी का महापौर कौन है?
Which awards did Douglas Hofstadter win?,डगलस हॉफस्टैडर ने किन पुरस्कारों को जीता है?
How much did the Lego Movie cost?,लेगो मूवी की लागत कितनी थी?
Where does Piccadilly start?,पिकाडिली कहां शुरू होती है?
Do Prince Harry and Prince William have the same parents?,क्या प्रिंस हैरी और प्रिंस विलियम के माता-पिता एक हैं?
Who played Agent Smith in Matrix?,मैट्रिक्स में किसने एजेंट स्मिथ को निभाया है ?
How many languages are spoken in Turkmenistan?,तुर्कमेनिस्तान में कितनी भाषाएं बोली जाती हैं?
In which films did Julia Roberts as well as Richard Gere play?,जूलिया रॉबर्ट्स और रिचर्ड गेरे ने किस फिल्म में अभिनय किया था?
In which country does the Ganges start?,गंगा किस देश में शुरू होती है?
In which year was Rachel Stevens born?,रेचल स्टीवंस का जन्म किस साल हुआ था?
Is Barack Obama a democrat?,क्या बराक ओबामा एक डेमोक्रेट है?
Where was Bach born?,बाख का जन्म कहाँ हुवा था?
How often did Jane Fonda marry?,जेन फोंडा ने कितनी बार शादी की?
Who was the first to climb Mount Everest?,माउंट एवरेस्ट पर चढ़ने वाला पहला कौन था?
How many people live in Poland?,पोलैंड में कितने लोग रहते हैं?
What is the location of the Houses of Parliament?,संसद के सदनों का स्थान क्या है?
Is Christian Bale starring in Batman Begins?,क्या क्रिस्चियन बॉल बैटमैन बेगिंस में है?
In which country is the Limerick Lake?,लिमरिक झील किस देश में है?
What was the last movie with Alec Guinness?,एलेक गिनीज की आखिरी फिल्म क्या थी?
What is the highest mountain in Australia?,ऑस्ट्रेलिया में सर्वोच्च पर्वत कोनसा है?
Is Frank Herbert still alive?,क्या फ्रैंक हरबर्ट अभी भी जीवित है?
Who created Family Guy?,फॅमिली गाए कौन ने बनाया है?
What is the official language of Suriname?,सूरीनाम की आधिकारिक भाषा क्या है?
Who wrote the song Hotel California?,गीत होटल कैलिफोर्निया कोंन ने लिखा था?
Give me all actors starring in movies directed by William Shatner.,विलियम शेटनेर द्वारा निर्देशित फिल्मों में सभी कलाकारों की सूचि दे।
What is in a chocolate chip cookie?,चॉकलेट चिप कुकी में क्या है?
Give me all professional skateboarders from Sweden.,मुझे स्वीडन से सभी पेशेवर स्केटबोर्डर की सूचि दो।
Which ingredients do I need for carrot cake?,गाजर केक के लिए मुझे कौन से सामग्री की आवश्यकता है?
Does Neymar play for Real Madrid?,क्या नेयमार रियल मैड्रिड के लिए खेलते हैं?
Which computer scientist won an oscar?,किस कंप्यूटर वैज्ञानिक ने ऑस्कर जीता?
How many companies were founded in the same year as Google?,कितनी कंपनियां स्थापित की गईं जिस वर्ष में गूगल हुइ?
In which UK city are the headquarters of the MI6?,किस यूके शहर में एमआई-6 का मुख्यालय है?
Was the Cuban Missile Crisis earlier than the Bay of Pigs Invasion?,क्या क्यूबाई मिसाइल संकट बे ऑफ़ पिग्स आक्रमण के पहले हुआ था?
What does IYCM stand for?,आईसीवायएम् का पूर्ण प्रपत्र क्या है?
When did the Ming dynasty dissolve?,मिंग राजवंश को कब भंग किया?
List all episodes of the first season of the HBO television series The Sopranos!,एचबीओ टेलीविजन श्रृंखला द सोप्रानोस! के पहले सीज़न के सभी एपिसोड की सूची बनाएं ।
"What is the total population of Melbourne, Florida?","मेलबोर्न, फ्लोरिडा की कुल आबादी क्या है?"
Did Arnold Schwarzenegger attend a university?,क्या अर्नोल्ड श्वार्ज़नेगर विश्वविद्यालय गए थे?
What country is Mount Everest in?,कोनसे देश में माउंट एवरेस्ट है?
What is the largest city in Australia?,ऑस्ट्रेलिया में सबसे बड़ा शहर क्या है?
Give me all launch pads operated by NASA.,मुझे नासा द्वारा संचालित सभी लॉन्च पैड की सूचि दें।
Who is the mayor of Tel Aviv?,तेल अवीव के महापौर कौन हैं?
List all episodes of the first season of the HBO television series The Sopranos.,एचओओ टेलीविजन श्रृंखला द सोप्रानोस के पहले सीज़न के सभी एपिसोड की सूची बनाएं। '
Who created Batman?,किसने बैटमैन बनाया?
