input_lang,output_lang,correctly_annotated
Which river does the Brooklyn Bridge cross?,¿Por qué río cruza la Brooklyn Bridge?,1
Give me the websites of companies with more than 500000 employees.,Dame todas las páginas de Web de empresas con más de 500000 empleados.,1
What is the official website of Tom Cruise?,¿Cuál el la página de Web oficial de Tom Cruise?,1
Give me all movies with Tom Cruise.,Dame todas las películas con Tom Cruise,1
Who created Wikipedia?,¿Quién creó Wikipedia?,1
How many films did Hal Roach produce?,¿Cuántas películas ha producido Hal Roach?,1
In which country does the Nile start?,¿En qué país nace el Nilo?,1
Which states of Germany are governed by the Social Democratic Party?,¿En qué estados federales de Alemania gobierna la SPD?,0
How tall is Claudia Schiffer?,¿Cómo de alta es Claudia Schiffer?,1
Which television shows were created by Walt Disney?,¿Qué series televisivas ideó Walt Disney?,1
What is the highest place of Karakoram?,¿Cuál es el punto más alto del Karakorum?,0
Give me all cities in New Jersey with more than 100000 inhabitants.,Dame todas las cuidades en New Jersey que tengan más de 100000 habitantes.,1
Which actors were born in Germany?,¿Qué actores nacieron en Alemania?,1
Give me all people with first name Jimmy.,Dame todas las personas con el nombre propio Jimmy.,0
Which mountain is the highest after the Annapurna?,¿Cuál es la montaña más alta después del Annapurna?,0
How often was Michael Jordan divorced?,¿Cuántas veces se ha divorciado Michael Jordan?,1
Who designed the Brooklyn Bridge?,¿Quién diseñó la Brooklyn Bridge?,1
Which classis do tree frogs belong to?,¿A qué especie pertenece la rana verde?,0
Was Natalie Portman born in the United States?,¿Nació Natalie Portman en los estados unidos de américa?,0
Which countries have more than two official languages?,¿Qué países tienes más de dos lenguas oficiales?,1
When did Latvia join the EU?,¿Cuándo ingresó Letonia a la unión europea?,1
Who created Goofy?,¿Quién es el creador de Goofy?,1
Give me all soccer clubs in Spain.,Dame todos los club de fútbol de España.,1
Who is the mayor of New York City?,¿Quién es el alcalde de la cuidad de Nueva York?,1
Which organizations were founded in 1950?,¿Qué empresas fueron fundadas en 1950?,1
Which presidents were born in 1945?,¿Qué presidentes nacieron en 1945?,1
Through which countries does the Yenisei river flow?,¿Por qué países fluye el río Yenisei?,1
Which museum exhibits The Scream by Munch?,¿En qué museo está expuesto el Grito de Munch?,0
